alpha,beta,gamma,conf_no,rmsd1,rmsd2
48.8,13.9,7.9,100,0.44,0.72
31.0,29.0,48.5,101,0.44,0.48
15.8,14.9,62.2,102,0.44,0.48
77.0,15.8,-16.3,103,0.44,0.51
91.5,29.4,-15.2,104,0.45,0.54
0.4,16.4,78.2,105,0.44,0.48
47.2,18.2,55.2,106,0.66,0.48
20.5,22.3,53.5,107,0.44,0.49
15.3,29.2,89.3,108,0.44,0.49
39.5,24.9,25.9,109,0.44,0.48
19.0,29.0,77.4,110,0.45,0.5
41.1,33.9,52.2,111,0.44,0.48
30.8,26.5,52.5,112,0.44,0.48
17.2,21.3,64.1,113,0.45,0.49
-37.7,120.1,-49.2,114,0.44,0.49
42.7,23.5,43.3,115,0.44,0.48
13.7,15.6,63.8,116,0.45,0.49
63.5,21.2,4.9,117,0.44,0.48
65.8,19.5,4.2,118,0.44,0.54
41.4,24.1,33.3,119,0.44,0.49
64.2,16.8,2.0,120,0.44,0.48
80.8,23.3,2.2,121,0.44,0.63
30.6,27.7,63.2,122,0.45,0.48
37.4,17.1,33.3,123,0.44,0.58
30.9,23.1,51.7,124,0.44,0.62
-1.1,44.8,97.5,125,0.45,0.48
20.6,41.0,68.2,126,0.45,0.48
-2.1,19.5,66.5,127,0.44,0.48
28.7,37.2,64.0,128,0.45,0.51
75.9,19.2,-15.2,129,0.44,0.59
0.6,22.6,95.2,130,0.45,0.59
41.0,31.8,37.1,131,0.44,0.48
37.9,24.8,30.1,132,0.44,0.79
24.3,39.8,84.2,133,0.49,0.49
7.3,21.0,60.5,134,0.44,0.48
23.2,23.2,63.0,135,0.44,0.48
-49.4,29.0,114.2,136,0.44,0.49
24.0,27.2,53.5,137,0.45,0.48
23.7,23.6,42.9,138,0.44,0.48
53.9,29.4,18.6,139,0.44,0.48
4.6,19.7,68.4,140,0.49,0.72
41.3,21.6,37.7,141,0.44,0.48
14.4,24.6,74.2,142,0.45,0.48
38.5,25.3,33.1,143,0.44,0.53
-39.1,39.0,126.7,144,0.44,0.5
50.9,28.5,47.2,145,0.44,0.61
55.2,19.6,18.3,146,0.44,0.6
70.6,21.3,9.8,147,0.44,0.59
62.8,11.7,-17.3,148,0.44,0.58
81.8,35.1,1.2,149,0.45,0.63
-6.5,40.5,103.2,150,0.48,0.48
26.7,22.1,58.5,151,0.44,0.48
4.9,22.7,79.4,152,0.45,0.49
88.9,34.6,-14.4,153,0.44,0.48
-22.9,19.4,109.5,154,0.44,0.63
69.2,16.7,-1.4,155,0.44,0.7
65.4,26.3,13.7,156,0.44,0.62
29.6,17.0,25.1,157,0.44,0.49
70.7,20.8,15.8,158,0.44,0.64
31.8,23.3,39.7,159,0.44,0.48
52.0,18.8,24.1,160,0.44,0.59
19.1,26.2,70.2,161,0.45,0.48
18.8,30.0,76.8,162,0.45,0.48
55.5,27.9,32.9,163,0.44,0.48
-3.0,48.5,81.2,164,0.45,0.48
16.6,26.0,76.0,165,0.45,0.63
-17.1,39.1,122.7,166,0.44,0.48
91.8,27.2,-19.2,167,0.45,0.49
63.7,25.0,13.1,168,0.44,0.5
30.7,26.4,57.7,169,0.44,0.51
1.4,26.1,78.7,170,0.45,0.72
44.5,34.2,56.8,171,0.45,0.6
97.1,34.0,-55.8,172,0.49,0.48
21.3,35.8,67.8,173,0.45,0.49
-3.3,19.1,75.4,174,0.44,0.48
10.8,33.6,90.6,175,0.45,0.6
43.0,39.4,48.0,176,0.44,0.5
28.4,26.3,52.0,177,0.44,0.5
60.9,20.6,26.8,178,0.44,0.51
54.4,19.6,31.7,179,0.44,0.61
0.4,104.9,7.7,180,0.44,0.49
28.6,22.4,56.4,181,0.44,0.48
27.3,106.0,-4.7,182,0.57,0.66
12.7,18.2,65.8,183,0.44,0.55
21.9,33.6,75.1,184,0.45,0.49
14.6,32.8,86.8,185,0.45,0.48
50.0,13.1,9.8,186,0.44,0.48
66.1,29.6,28.1,187,0.46,0.48
25.0,27.5,63.0,188,0.44,0.49
66.0,26.3,14.4,189,0.44,0.48
21.6,26.5,54.4,190,0.45,0.62
11.8,40.4,79.8,191,0.45,0.49
68.1,21.4,18.4,192,0.44,0.52
49.2,24.1,5.6,193,0.44,0.62
4.7,29.2,89.3,194,0.45,0.48
44.8,34.9,51.7,195,0.44,0.51
47.5,35.7,55.0,196,0.45,0.48
56.6,11.1,-9.6,197,0.44,0.58
41.5,32.2,54.0,198,0.44,0.51
39.0,20.8,35.0,199,0.44,0.48
38.6,16.7,32.4,200,0.44,0.6
60.8,19.8,7.8,201,0.44,0.5
35.6,32.4,58.5,202,0.45,0.48
56.1,34.8,35.0,203,0.44,0.48
82.8,24.7,-39.2,204,0.45,0.48
48.8,19.8,25.6,205,0.44,0.49
22.5,22.6,60.3,206,0.44,0.48
51.9,19.8,29.7,207,0.44,0.5
87.9,30.3,-9.0,208,0.44,0.61
34.1,33.6,70.0,209,0.44,0.48
32.5,37.8,75.1,210,0.44,0.48
62.7,29.8,10.7,211,0.44,0.48
78.3,32.4,15.0,212,0.44,0.48
22.2,26.2,58.1,213,0.44,0.49
31.2,30.4,67.8,214,0.45,0.48
50.8,37.7,6.9,215,0.44,0.48
3.0,29.2,76.2,216,0.45,0.48
18.3,56.4,37.5,217,0.44,0.62
58.4,19.8,-4.5,218,0.44,0.5
27.3,29.3,63.3,219,0.44,0.48
34.4,34.4,61.1,220,0.44,0.48
22.5,12.9,57.7,221,0.44,0.65
10.5,37.0,99.1,222,0.45,0.49
25.8,27.1,62.0,223,0.44,0.48
13.7,33.2,85.8,224,0.45,0.63
51.8,19.5,39.0,225,0.44,0.65
33.0,24.2,53.4,226,0.44,0.52
-6.0,73.6,36.3,227,0.44,0.48
62.9,20.1,19.1,228,0.44,0.51
52.2,25.0,33.4,229,0.44,0.48
83.9,27.4,-0.4,230,0.44,0.63
17.4,16.3,61.1,231,0.44,0.48
42.2,19.2,35.9,232,0.44,0.49
5.1,30.2,87.9,233,0.45,0.48
127.2,-47.2,-32.3,234,0.45,0.48
18.2,31.9,86.5,235,0.58,0.49
30.8,31.0,61.4,236,0.45,0.48
87.3,-66.3,-75.3,237,0.44,0.61
36.3,33.7,58.5,238,0.44,0.49
72.3,20.2,6.8,239,0.44,0.51
-39.1,41.8,134.2,240,0.44,0.49
27.4,30.3,76.5,241,0.45,0.48
40.8,17.8,20.7,242,0.44,0.6
88.4,27.4,-3.7,243,0.44,0.55
44.2,36.6,45.2,244,0.44,0.48
12.6,25.2,77.6,245,0.45,0.48
26.9,24.2,63.3,246,0.45,0.51
72.9,26.2,17.5,247,0.44,0.49
56.2,24.5,33.3,248,0.44,0.51
80.8,20.7,-16.9,249,0.44,0.62
43.2,29.5,51.2,250,0.51,0.49
32.8,23.8,50.3,251,0.44,0.48
7.7,13.5,49.9,252,0.44,0.68
21.4,32.0,81.9,253,0.45,0.5
41.8,29.8,34.4,254,0.44,0.48
95.0,16.9,-41.9,255,0.66,0.6
29.0,33.1,62.7,256,0.45,0.48
50.9,25.2,41.0,257,0.44,0.52
100.4,33.6,-30.1,258,0.44,0.66
13.6,31.6,96.5,259,0.44,0.49
-9.8,41.4,103.3,260,0.71,0.5
20.4,30.9,78.3,261,0.45,0.48
33.9,23.2,43.2,262,0.44,0.49
68.5,22.3,12.9,263,0.44,0.51
33.9,31.3,50.4,264,0.44,0.48
28.7,32.1,56.6,265,0.45,0.49
74.0,22.3,9.2,266,0.44,0.51
17.7,36.6,77.4,267,0.47,0.48
-10.5,45.2,88.1,268,0.44,0.51
-40.7,64.9,50.3,269,0.45,0.66
39.2,23.4,32.6,270,0.44,0.64
33.4,26.9,61.9,271,0.45,0.48
-12.9,37.6,105.8,272,0.72,0.5
58.5,41.3,42.5,273,0.45,0.48
17.7,24.3,70.3,274,0.44,0.48
73.2,25.3,-0.3,275,0.44,0.48
37.3,19.8,48.8,276,0.44,0.65
45.6,31.2,52.9,277,0.44,0.49
43.8,33.7,52.0,278,0.44,0.48
39.3,37.6,62.1,279,0.45,0.49
35.3,15.9,39.2,280,0.44,0.52
62.3,78.8,-21.4,281,0.44,0.5
13.3,24.6,63.0,282,0.45,0.48
28.6,29.6,67.2,283,0.45,0.48
33.7,32.9,65.2,284,0.44,0.48
72.7,21.3,5.4,285,0.44,0.6
19.1,23.9,68.0,286,0.44,0.48
74.4,19.8,-14.6,287,0.44,0.49
68.6,17.4,-6.1,288,0.44,0.52
52.2,23.0,41.1,289,0.44,0.48
-69.5,4.4,108.9,290,0.44,0.49
77.3,22.7,8.2,291,0.44,0.48
79.7,22.5,-14.0,292,0.44,0.57
47.5,46.1,22.9,293,0.44,0.48
26.6,40.2,72.5,294,0.45,0.49
73.9,24.7,16.7,295,0.45,0.48
63.8,19.8,-12.1,296,0.44,0.66
36.7,36.3,60.3,297,0.44,0.49
72.3,83.2,-38.3,298,0.66,0.48
53.0,19.8,3.5,299,0.44,0.69
25.3,32.0,63.9,300,0.45,0.48
23.5,32.5,75.5,301,0.45,0.5
81.0,24.0,-17.6,302,0.44,0.56
25.8,33.4,68.7,303,0.45,0.48
36.4,29.1,43.0,304,0.44,0.48
81.6,9.2,-25.2,305,0.44,0.62
20.8,26.9,46.4,306,0.44,0.48
74.2,20.1,-12.5,307,0.44,0.58
71.1,16.4,-9.9,308,0.44,0.58
62.1,20.6,19.2,309,0.44,0.5
46.8,28.7,15.5,310,0.44,0.48
54.3,19.3,16.2,311,0.44,0.48
78.4,21.4,-6.5,312,0.44,0.59
-39.1,19.7,91.0,313,0.44,0.5
78.1,22.4,7.9,314,0.44,0.62
71.7,20.9,8.1,315,0.44,0.54
35.0,42.0,61.5,316,0.44,0.48
86.4,29.6,-2.3,317,0.44,0.48
43.0,25.0,32.9,318,0.44,0.48
54.0,20.1,31.2,319,0.44,0.51
32.6,23.6,50.9,320,0.44,0.48
29.5,29.0,62.1,321,0.44,0.51
-2.3,17.7,79.9,322,0.44,0.69
24.8,28.6,74.9,323,0.45,0.48
67.6,15.0,-9.6,324,0.44,0.68
32.8,22.8,51.9,325,0.44,0.48
43.8,23.7,31.4,326,0.44,0.48
69.0,39.0,-0.5,327,0.44,0.52
13.8,28.9,73.3,328,0.45,0.68
21.6,31.4,69.5,329,0.45,0.48
18.0,26.8,70.6,330,0.45,0.48
13.3,33.3,83.4,331,0.45,0.52
15.8,11.0,44.7,332,0.44,0.49
61.4,21.3,9.2,333,0.44,0.48
34.7,24.0,53.2,334,0.44,0.48
63.6,11.2,-2.7,335,0.44,0.66
20.9,33.9,83.2,336,0.45,0.48
53.1,25.5,21.9,337,0.44,0.51
25.6,31.3,77.3,338,0.45,0.48
31.5,30.3,45.0,339,0.44,0.48
45.1,35.9,47.6,340,0.44,0.49
48.8,12.7,23.1,341,0.44,0.49
132.7,-39.7,-40.8,342,0.44,0.49
80.0,20.5,-13.9,343,0.44,0.62
72.5,22.0,6.0,344,0.44,0.49
27.8,29.3,72.4,345,0.44,0.48
34.2,28.7,53.6,346,0.44,0.48
49.5,17.0,13.1,347,0.44,0.48
42.8,29.1,31.5,348,0.44,0.48
-33.5,47.1,114.4,349,0.45,0.58
26.0,34.6,61.2,350,0.45,0.48
18.7,24.5,55.8,351,0.45,0.49
43.0,35.5,53.7,352,0.44,0.5
22.1,37.4,68.0,353,0.45,0.5
7.2,35.6,92.4,354,0.45,0.48
10.4,29.5,85.9,355,0.45,0.51
24.2,17.8,54.8,356,0.44,0.49
56.1,25.1,32.2,357,0.44,0.48
-0.0,25.8,100.8,358,0.44,0.48
90.6,29.8,-12.7,359,0.45,0.62
36.8,25.6,39.7,360,0.44,0.49
6.0,18.0,73.5,361,0.45,0.67
-46.2,38.6,127.6,362,0.44,0.48
44.2,13.5,14.5,363,0.44,0.49
3.6,25.8,85.9,364,0.45,0.49
42.7,15.7,39.4,365,0.45,0.5
63.1,16.4,9.0,366,0.44,0.65
23.7,19.2,57.7,367,0.44,0.48
34.0,27.2,41.7,368,0.44,0.49
39.2,28.4,52.3,369,0.44,0.49
17.3,21.2,70.3,370,0.44,0.48
12.3,27.8,84.2,371,0.44,0.48
30.0,15.8,50.4,372,0.45,0.68
37.0,24.4,46.8,373,0.44,0.65
74.0,20.8,-1.2,374,0.44,0.61
47.6,32.4,36.7,375,0.44,0.48
15.5,33.9,87.9,376,0.45,0.49
34.7,17.3,25.2,377,0.44,0.5
92.2,-10.3,-58.9,378,0.44,0.68
22.1,31.3,81.1,379,0.45,0.48
47.9,13.5,7.8,380,0.44,0.64
21.9,27.0,82.6,381,0.44,0.48
23.3,35.8,69.5,382,0.45,0.56
-38.6,6.9,92.4,383,0.44,0.68
57.0,37.4,19.3,384,0.44,0.48
4.6,34.2,96.1,385,0.45,0.49
66.9,68.1,-26.0,386,0.44,0.5
28.3,31.2,61.4,387,0.45,0.48
-17.8,46.9,112.1,388,0.71,0.48
51.8,14.0,10.2,389,0.44,0.67
-43.3,28.0,134.6,390,0.44,0.5
53.1,16.1,2.5,391,0.44,0.68
70.7,20.7,10.2,392,0.44,0.51
15.7,13.9,66.8,393,0.44,0.65
65.3,39.9,4.0,394,0.44,0.53
17.4,20.2,66.2,395,0.44,0.54
-3.5,25.8,88.5,396,0.44,0.5
18.7,28.2,85.4,397,0.44,0.48
46.6,23.6,16.6,398,0.44,0.49
21.1,23.3,61.2,399,0.44,0.48
28.2,14.5,51.0,400,0.44,0.65
41.9,32.6,40.1,401,0.44,0.48
65.8,20.1,20.3,402,0.44,0.62
19.9,32.1,71.9,403,0.45,0.62
48.6,28.1,42.2,404,0.44,0.5
6.3,15.3,60.3,405,0.44,0.48
70.6,19.2,10.0,406,0.44,0.61
17.6,30.0,79.7,407,0.45,0.48
47.9,19.8,24.8,408,0.44,0.48
75.1,19.3,3.1,409,0.44,0.62
70.3,21.7,13.5,410,0.44,0.5
66.2,21.7,14.2,411,0.44,0.53
32.8,26.9,57.3,412,0.44,0.65
52.4,16.9,12.2,413,0.44,0.49
80.8,22.0,0.7,414,0.44,0.62
31.3,33.7,61.1,415,0.45,0.49
21.4,24.1,66.6,416,0.44,0.48
18.5,13.6,58.9,417,0.44,0.51
46.9,21.8,21.2,418,0.44,0.48
40.9,32.4,50.9,419,0.44,0.48
24.7,17.3,57.4,420,0.44,0.67
85.4,75.5,-7.4,421,0.54,0.48
4.2,55.6,66.7,422,0.45,0.48
22.7,32.9,74.7,423,0.45,0.48
70.0,21.5,9.9,424,0.44,0.5
-18.5,26.1,104.2,425,0.44,0.54
59.0,51.7,-10.4,426,0.44,0.64
11.9,31.6,90.9,427,0.44,0.49
10.8,24.6,73.8,428,0.45,0.48
27.8,29.1,69.3,429,0.49,0.48
9.2,33.3,78.2,430,0.45,0.48
33.4,95.5,-1.7,431,0.54,0.5
39.0,20.1,33.6,432,0.44,0.48
31.5,11.8,19.7,433,0.44,0.67
-8.3,28.5,86.2,434,0.44,0.51
-26.9,37.6,129.7,435,0.44,0.48
-22.1,13.2,76.0,436,0.44,0.75
79.9,24.3,-0.7,437,0.44,0.5
45.0,32.1,47.5,438,0.44,0.62
71.8,19.2,13.7,439,0.44,0.62
17.3,24.9,73.1,440,0.44,0.48
7.7,19.0,75.5,441,0.45,0.61
-48.0,55.9,88.5,442,0.45,0.65
29.4,28.9,65.9,443,0.44,0.48
8.1,24.0,70.7,444,0.45,0.5
80.4,19.8,-2.0,445,0.45,0.5
36.9,18.7,25.9,446,0.44,0.76
54.4,27.3,38.5,447,0.44,0.5
45.1,25.5,28.9,448,0.44,0.48
22.1,39.7,72.9,449,0.45,0.49
25.5,14.5,40.0,450,0.44,0.48
79.8,20.8,-1.2,451,0.44,0.58
35.2,25.2,41.4,452,0.44,0.49
14.9,35.1,88.8,453,0.45,0.5
28.8,32.2,70.2,454,0.44,0.48
75.7,22.3,3.8,455,0.44,0.61
45.9,26.3,29.1,456,0.44,0.49
64.9,23.2,-0.5,457,0.44,0.5
7.9,17.8,62.2,458,0.44,0.48
43.3,24.3,39.2,459,0.44,0.49
26.5,35.9,67.6,460,0.45,0.48
70.2,24.8,1.5,461,0.44,0.48
84.1,22.9,-4.3,462,0.44,0.62
103.3,35.8,-64.2,463,0.53,0.49
17.2,22.6,63.2,464,0.44,0.48
16.2,27.6,87.6,465,0.44,0.49
54.7,15.4,17.6,466,0.44,0.5
79.2,22.4,4.8,467,0.44,0.48
66.3,20.7,-7.2,468,0.44,0.53
78.3,21.4,-16.3,469,0.44,0.59
9.8,14.9,71.5,470,0.44,0.48
104.2,6.6,-64.5,471,0.46,0.55
51.5,26.1,15.8,472,0.44,0.5
26.8,33.0,56.5,473,0.44,0.56
41.4,21.3,46.7,474,0.44,0.48
30.2,25.6,40.9,475,0.44,0.48
62.2,-34.8,-55.1,476,0.44,0.69
51.3,28.6,18.3,477,0.44,0.48
122.5,-47.4,-39.1,478,0.44,0.5
15.1,28.0,87.4,479,0.45,0.49
-0.3,30.9,80.6,480,0.45,0.68
42.9,30.3,32.1,481,0.44,0.49
33.8,33.2,48.6,482,0.44,0.48
46.4,10.3,15.0,483,0.44,0.49
56.7,22.1,14.4,484,0.44,0.48
28.9,23.6,54.4,485,0.44,0.49
24.0,26.0,69.8,486,0.44,0.48
30.4,21.4,52.6,487,0.44,0.48
63.0,20.9,24.3,488,0.44,0.6
15.2,28.2,64.4,489,0.44,0.54
42.0,33.0,21.2,490,0.44,0.48
-9.2,58.7,58.9,491,0.44,0.48
30.1,33.0,62.3,492,0.44,0.48
59.5,21.1,9.8,493,0.44,0.48
6.2,21.1,70.0,494,0.44,0.49
40.0,24.0,32.6,495,0.44,0.68
23.2,23.8,46.8,496,0.44,0.48
12.9,20.3,57.5,497,0.44,0.77
42.6,35.7,57.0,498,0.44,0.5
31.9,30.7,49.0,499,0.44,0.48
68.5,21.4,-17.4,500,0.44,0.48
10.4,15.2,74.9,501,0.44,0.67
11.5,30.5,57.7,502,0.45,0.49
-37.5,13.7,90.7,503,0.44,0.49
38.6,17.5,30.2,504,0.44,0.48
69.1,31.7,-5.1,505,0.44,0.48
36.1,18.9,33.5,506,0.44,0.62
-26.2,49.2,69.4,507,0.44,0.5
80.2,23.4,3.9,508,0.44,0.48
40.4,34.6,48.6,509,0.44,0.49
70.1,26.6,-20.6,510,0.44,0.74
49.5,19.7,36.6,511,0.44,0.61
19.8,19.7,45.9,512,0.44,0.74
-38.7,11.0,88.8,513,0.44,0.53
67.4,22.2,16.8,514,0.44,0.51
43.3,34.5,47.8,515,0.44,0.48
20.3,34.0,77.2,516,0.45,0.49
-79.7,55.3,79.5,517,0.44,0.67
-6.1,44.6,103.5,518,0.72,0.5
25.0,18.9,53.0,519,0.44,0.62
14.5,26.6,79.1,520,0.45,0.69
106.1,11.4,-65.3,521,0.64,0.53
65.4,20.3,20.0,522,0.44,0.51
37.6,18.7,40.4,523,0.44,0.56
95.0,-38.8,-80.8,524,0.44,0.5
42.8,38.4,58.7,525,0.45,0.48
40.8,33.9,50.8,526,0.44,0.48
43.9,30.7,47.6,527,0.44,0.65
59.4,17.4,-3.9,528,0.44,0.79
27.8,34.0,64.1,529,0.45,0.48
26.4,26.4,55.8,530,0.44,0.48
120.1,-48.8,-42.1,531,0.44,0.48
54.6,20.3,22.9,532,0.44,0.68
-66.1,9.0,106.9,533,0.44,0.49
45.0,29.4,56.0,534,0.48,0.49
18.2,17.8,62.4,535,0.61,0.62
1.2,20.1,85.1,536,0.44,0.5
19.2,28.4,77.6,537,0.44,0.48
-12.6,20.0,86.2,538,0.44,0.5
42.6,22.6,43.3,539,0.44,0.61
70.8,21.3,10.8,540,0.44,0.5
29.4,37.2,77.2,541,0.45,0.48
130.8,-31.1,-38.1,542,0.44,0.5
42.5,27.1,28.0,543,0.44,0.48
47.9,25.1,47.6,544,0.44,0.51
30.4,34.0,69.3,545,0.45,0.48
70.3,27.9,3.8,546,0.44,0.48
9.3,30.5,87.7,547,0.45,0.48
-12.0,48.6,97.0,548,0.44,0.5
76.1,24.7,-13.9,549,0.44,0.64
-18.0,19.5,94.2,550,0.44,0.64
-21.5,26.5,96.3,551,0.64,0.5
58.3,16.6,17.0,552,0.44,0.48
64.1,20.8,-23.5,553,0.44,0.66
75.5,23.5,-7.7,554,0.44,0.49
25.4,33.3,69.2,555,0.45,0.48
16.1,23.2,70.6,556,0.44,0.48
20.6,32.3,80.1,557,0.45,0.48
65.1,20.0,-6.2,558,0.44,0.73
72.8,20.0,5.1,559,0.44,0.61
12.1,22.0,20.5,560,0.45,0.64
23.9,30.4,70.0,561,0.45,0.53
48.6,15.4,26.5,562,0.44,0.49
12.9,19.7,82.4,563,0.44,0.56
71.6,21.7,-8.8,564,0.44,0.6
79.9,22.4,-13.5,565,0.44,0.61
53.4,19.9,37.5,566,0.44,0.63
35.2,14.5,34.6,567,0.44,0.69
16.2,19.9,60.1,568,0.44,0.48
30.3,30.8,48.8,569,0.44,0.48
46.2,16.1,18.5,570,0.44,0.49
41.7,22.8,22.1,571,0.44,0.48
33.9,33.9,54.4,572,0.44,0.48
38.4,20.6,40.4,573,0.44,0.58
56.4,25.3,36.2,574,0.44,0.61
56.9,16.9,17.8,575,0.44,0.5
111.3,-18.3,-56.3,576,0.44,0.49
25.6,38.7,65.3,577,0.45,0.48
51.9,33.3,45.0,578,0.44,0.48
52.0,20.5,28.6,579,0.44,0.49
33.4,35.4,57.6,580,0.44,0.48
51.7,11.4,20.8,581,0.44,0.67
20.8,21.9,44.9,582,0.45,0.6
25.0,13.0,52.8,583,0.44,0.48
51.7,19.2,4.2,584,0.44,0.59
79.8,24.9,3.4,585,0.44,0.48
78.2,20.4,-12.4,586,0.44,0.48
48.0,33.7,42.4,587,0.44,0.48
29.5,20.5,51.0,588,0.44,0.54
42.5,18.4,35.6,589,0.44,0.62
-5.1,21.4,70.9,590,0.44,0.49
41.8,25.6,31.8,591,0.44,0.49
22.2,23.3,62.4,592,0.44,0.48
87.1,27.5,-24.2,593,0.45,0.71
61.2,23.8,22.7,594,0.44,0.64
61.2,25.8,22.5,595,0.44,0.5
5.9,22.4,78.8,596,0.45,0.49
87.0,25.2,-8.5,597,0.65,0.61
41.1,23.6,30.2,598,0.44,0.5
4.9,24.9,82.3,599,0.44,0.48
29.8,28.2,56.3,600,0.44,0.48
26.9,39.5,41.4,601,0.44,0.48
5.6,27.5,93.5,602,0.44,0.63
96.7,22.2,-12.3,603,0.5,0.62
30.6,34.1,66.7,604,0.45,0.48
80.6,19.8,-34.0,605,0.45,0.65
24.4,33.2,57.4,606,0.44,0.48
67.0,27.1,22.7,607,0.44,0.62
14.0,14.5,62.8,608,0.44,0.48
33.5,27.1,63.1,609,0.44,0.48
29.9,28.1,61.4,610,0.45,0.48
54.7,16.7,20.4,611,0.44,0.49
73.3,22.2,5.4,612,0.44,0.49
77.7,27.4,7.4,613,0.44,0.51
34.8,128.8,-7.4,614,0.62,0.61
55.2,15.8,16.6,615,0.44,0.5
16.9,34.1,70.7,616,0.45,0.48
90.5,26.5,-17.8,617,0.45,0.63
13.6,22.8,59.4,618,0.44,0.5
-57.9,6.2,88.6,619,0.44,0.51
46.9,18.2,21.8,620,0.44,0.71
60.5,27.0,7.7,621,0.44,0.48
10.2,19.0,52.6,622,0.44,0.5
33.5,26.8,58.6,623,0.53,0.48
36.9,19.4,43.8,624,0.44,0.48
16.3,25.6,76.3,625,0.44,0.62
64.5,18.5,13.2,626,0.44,0.55
