processed_filename,FARFAR_filename,Library_filename,filename,score
ens-1636.pdb,S_029_000106.pdb,ens-1636.pdb,S_029_000106.pdb,-18.932
ens-3585.pdb,S_376_000067.pdb,ens-3585.pdb,S_376_000067.pdb,-31.627
ens-6616.pdb,S_269_000033.pdb,ens-6616.pdb,S_269_000033.pdb,-7.016
ens-8128.pdb,S_091_000030.pdb,ens-8128.pdb,S_091_000030.pdb,-23.247
ens-3271.pdb,S_071_000013.pdb,ens-3271.pdb,S_071_000013.pdb,-32.479
ens-3735.pdb,S_207_000055.pdb,ens-3735.pdb,S_207_000055.pdb,-29.189
ens-9006.pdb,S_010_000049.pdb,ens-9006.pdb,S_010_000049.pdb,-23.937
ens-7459.pdb,S_042_000103.pdb,ens-7459.pdb,S_042_000103.pdb,-18.582
ens-1044.pdb,S_008_000080.pdb,ens-1044.pdb,S_008_000080.pdb,-7.524
ens-5213.pdb,S_400_000028.pdb,ens-5213.pdb,S_400_000028.pdb,-22.762
ens-3812.pdb,S_125_000123.pdb,ens-3812.pdb,S_125_000123.pdb,-29.41
ens-7565.pdb,S_254_000008.pdb,ens-7565.pdb,S_254_000008.pdb,-17.374
ens-1271.pdb,S_122_000024.pdb,ens-1271.pdb,S_122_000024.pdb,-16.534
ens-3135.pdb,S_213_000021.pdb,ens-3135.pdb,S_213_000021.pdb,-27.717
ens-2521.pdb,S_385_000060.pdb,ens-2521.pdb,S_385_000060.pdb,-29.163
ens-8877.pdb,S_204_000029.pdb,ens-8877.pdb,S_204_000029.pdb,-18.254
ens-1127.pdb,S_389_000116.pdb,ens-1127.pdb,S_389_000116.pdb,-0.887
ens-6291.pdb,S_127_000043.pdb,ens-6291.pdb,S_127_000043.pdb,-29.988
ens-749.pdb,S_261_000004.pdb,ens-749.pdb,S_261_000004.pdb,-14.408
ens-1785.pdb,S_337_000002.pdb,ens-1785.pdb,S_337_000002.pdb,-36.094
ens-4931.pdb,S_077_000084.pdb,ens-4931.pdb,S_077_000084.pdb,-13.661
ens-7397.pdb,S_116_000043.pdb,ens-7397.pdb,S_116_000043.pdb,-29.584
ens-1762.pdb,S_111_000081.pdb,ens-1762.pdb,S_111_000081.pdb,-16.372
ens-1562.pdb,S_279_000096.pdb,ens-1562.pdb,S_279_000096.pdb,-16.452
ens-1180.pdb,S_118_000018.pdb,ens-1180.pdb,S_118_000018.pdb,-12.552
ens-4292.pdb,S_247_000024.pdb,ens-4292.pdb,S_247_000024.pdb,-25.219
ens-8900.pdb,S_195_000012.pdb,ens-8900.pdb,S_195_000012.pdb,-21.684
ens-9912.pdb,S_076_000112.pdb,ens-9912.pdb,S_076_000112.pdb,-17.919
ens-6282.pdb,S_061_000058.pdb,ens-6282.pdb,S_061_000058.pdb,-29.935
ens-2465.pdb,S_121_000036.pdb,ens-2465.pdb,S_121_000036.pdb,-0.907
ens-7160.pdb,S_142_000068.pdb,ens-7160.pdb,S_142_000068.pdb,-10.537
ens-7766.pdb,S_132_000025.pdb,ens-7766.pdb,S_132_000025.pdb,-9.223
ens-6786.pdb,S_190_000123.pdb,ens-6786.pdb,S_190_000123.pdb,-20.536
ens-59.pdb,S_374_000037.pdb,ens-59.pdb,S_374_000037.pdb,-18.308
ens-6375.pdb,S_308_000007.pdb,ens-6375.pdb,S_308_000007.pdb,-4.015
ens-3667.pdb,S_236_000027.pdb,ens-3667.pdb,S_236_000027.pdb,-14.939
ens-4718.pdb,S_244_000067.pdb,ens-4718.pdb,S_244_000067.pdb,-24.358
ens-1866.pdb,S_263_000005.pdb,ens-1866.pdb,S_263_000005.pdb,-9.704
ens-3840.pdb,S_140_000032.pdb,ens-3840.pdb,S_140_000032.pdb,-7.428
ens-7463.pdb,S_068_000014.pdb,ens-7463.pdb,S_068_000014.pdb,-17.106
ens-1472.pdb,S_072_000099.pdb,ens-1472.pdb,S_072_000099.pdb,-24.522
ens-9463.pdb,S_140_000074.pdb,ens-9463.pdb,S_140_000074.pdb,-23.054
ens-9556.pdb,S_139_000114.pdb,ens-9556.pdb,S_139_000114.pdb,-7.425
ens-3928.pdb,S_394_000074.pdb,ens-3928.pdb,S_394_000074.pdb,-10.727
ens-3595.pdb,S_231_000061.pdb,ens-3595.pdb,S_231_000061.pdb,-18.036
ens-9514.pdb,S_099_000066.pdb,ens-9514.pdb,S_099_000066.pdb,-0.981
ens-3648.pdb,S_249_000092.pdb,ens-3648.pdb,S_249_000092.pdb,-9.703
ens-1325.pdb,S_184_000038.pdb,ens-1325.pdb,S_184_000038.pdb,-29.961
ens-4016.pdb,S_210_000076.pdb,ens-4016.pdb,S_210_000076.pdb,-23.277
ens-5043.pdb,S_146_000075.pdb,ens-5043.pdb,S_146_000075.pdb,-23.13
ens-2548.pdb,S_122_000074.pdb,ens-2548.pdb,S_122_000074.pdb,-21.469
ens-3872.pdb,S_301_000106.pdb,ens-3872.pdb,S_301_000106.pdb,-16.67
ens-9257.pdb,S_203_000002.pdb,ens-9257.pdb,S_203_000002.pdb,-4.334
ens-8534.pdb,S_353_000059.pdb,ens-8534.pdb,S_353_000059.pdb,-20.42
ens-4095.pdb,S_293_000030.pdb,ens-4095.pdb,S_293_000030.pdb,-18.672
ens-8782.pdb,S_162_000072.pdb,ens-8782.pdb,S_162_000072.pdb,-17.999
ens-4606.pdb,S_272_000042.pdb,ens-4606.pdb,S_272_000042.pdb,-3.667
ens-1940.pdb,S_336_000058.pdb,ens-1940.pdb,S_336_000058.pdb,-17.367
ens-9493.pdb,S_088_000071.pdb,ens-9493.pdb,S_088_000071.pdb,-19.779
ens-411.pdb,S_295_000082.pdb,ens-411.pdb,S_295_000082.pdb,-14.22
ens-9532.pdb,S_345_000032.pdb,ens-9532.pdb,S_345_000032.pdb,-18.691
ens-8460.pdb,S_087_000055.pdb,ens-8460.pdb,S_087_000055.pdb,-32.537
ens-1463.pdb,S_098_000087.pdb,ens-1463.pdb,S_098_000087.pdb,-16.695
ens-3952.pdb,S_377_000055.pdb,ens-3952.pdb,S_377_000055.pdb,-23.66
ens-4241.pdb,S_392_000125.pdb,ens-4241.pdb,S_392_000125.pdb,-8.027
ens-5150.pdb,S_374_000040.pdb,ens-5150.pdb,S_374_000040.pdb,-25.835
ens-8353.pdb,S_217_000111.pdb,ens-8353.pdb,S_217_000111.pdb,-29.48
ens-2864.pdb,S_084_000062.pdb,ens-2864.pdb,S_084_000062.pdb,-29.25
ens-6631.pdb,S_305_000062.pdb,ens-6631.pdb,S_305_000062.pdb,-15.429
ens-369.pdb,S_097_000100.pdb,ens-369.pdb,S_097_000100.pdb,-30.396
ens-2790.pdb,S_250_000110.pdb,ens-2790.pdb,S_250_000110.pdb,-29.244
ens-4860.pdb,S_186_000014.pdb,ens-4860.pdb,S_186_000014.pdb,-20.016
ens-7544.pdb,S_252_000014.pdb,ens-7544.pdb,S_252_000014.pdb,-18.566
ens-6436.pdb,S_343_000114.pdb,ens-6436.pdb,S_343_000114.pdb,-17.39
ens-2586.pdb,S_162_000002.pdb,ens-2586.pdb,S_162_000002.pdb,-30.309
ens-5745.pdb,S_332_000004.pdb,ens-5745.pdb,S_332_000004.pdb,-19.381
ens-8930.pdb,S_040_000061.pdb,ens-8930.pdb,S_040_000061.pdb,-23.298
ens-549.pdb,S_072_000022.pdb,ens-549.pdb,S_072_000022.pdb,-19.266
ens-2724.pdb,S_281_000072.pdb,ens-2724.pdb,S_281_000072.pdb,-5.142
ens-1904.pdb,S_365_000086.pdb,ens-1904.pdb,S_365_000086.pdb,-28.436
ens-6024.pdb,S_105_000101.pdb,ens-6024.pdb,S_105_000101.pdb,-23.853
ens-7424.pdb,S_085_000039.pdb,ens-7424.pdb,S_085_000039.pdb,-18.257
ens-6892.pdb,S_142_000107.pdb,ens-6892.pdb,S_142_000107.pdb,-31.055
ens-2877.pdb,S_370_000044.pdb,ens-2877.pdb,S_370_000044.pdb,-34.718
ens-1126.pdb,S_348_000046.pdb,ens-1126.pdb,S_348_000046.pdb,-28.853
ens-5821.pdb,S_372_000074.pdb,ens-5821.pdb,S_372_000074.pdb,-9.893
ens-5762.pdb,S_189_000084.pdb,ens-5762.pdb,S_189_000084.pdb,-17.149
ens-7677.pdb,S_293_000012.pdb,ens-7677.pdb,S_293_000012.pdb,-8.38
ens-9931.pdb,S_310_000046.pdb,ens-9931.pdb,S_310_000046.pdb,-30.799
ens-4720.pdb,S_083_000042.pdb,ens-4720.pdb,S_083_000042.pdb,-17.688
ens-7488.pdb,S_293_000108.pdb,ens-7488.pdb,S_293_000108.pdb,-32.97
ens-4231.pdb,S_134_000024.pdb,ens-4231.pdb,S_134_000024.pdb,-25.672
ens-3380.pdb,S_152_000098.pdb,ens-3380.pdb,S_152_000098.pdb,-19.156
ens-706.pdb,S_131_000100.pdb,ens-706.pdb,S_131_000100.pdb,-19.072
ens-3238.pdb,S_142_000074.pdb,ens-3238.pdb,S_142_000074.pdb,-6.2
ens-2129.pdb,S_353_000014.pdb,ens-2129.pdb,S_353_000014.pdb,-11.327
ens-6997.pdb,S_310_000098.pdb,ens-6997.pdb,S_310_000098.pdb,-18.596
ens-6268.pdb,S_076_000075.pdb,ens-6268.pdb,S_076_000075.pdb,-23.201
ens-5828.pdb,S_214_000075.pdb,ens-5828.pdb,S_214_000075.pdb,-25.772
ens-7448.pdb,S_277_000012.pdb,ens-7448.pdb,S_277_000012.pdb,-14.965
ens-8469.pdb,S_059_000120.pdb,ens-8469.pdb,S_059_000120.pdb,-0.573
ens-8079.pdb,S_303_000124.pdb,ens-8079.pdb,S_303_000124.pdb,-13.71
ens-8742.pdb,S_091_000092.pdb,ens-8742.pdb,S_091_000092.pdb,-18.694
ens-3476.pdb,S_122_000058.pdb,ens-3476.pdb,S_122_000058.pdb,-23.515
ens-6688.pdb,S_387_000103.pdb,ens-6688.pdb,S_387_000103.pdb,-27.845
ens-9995.pdb,S_252_000101.pdb,ens-9995.pdb,S_252_000101.pdb,-21.997
ens-8674.pdb,S_210_000096.pdb,ens-8674.pdb,S_210_000096.pdb,-30.991
ens-8092.pdb,S_400_000069.pdb,ens-8092.pdb,S_400_000069.pdb,-13.232
ens-4082.pdb,S_290_000124.pdb,ens-4082.pdb,S_290_000124.pdb,-11.102
ens-2569.pdb,S_277_000001.pdb,ens-2569.pdb,S_277_000001.pdb,-26.817
ens-4254.pdb,S_021_000098.pdb,ens-4254.pdb,S_021_000098.pdb,-21.783
ens-6479.pdb,S_390_000088.pdb,ens-6479.pdb,S_390_000088.pdb,-14.569
ens-4347.pdb,S_066_000089.pdb,ens-4347.pdb,S_066_000089.pdb,-14.699
ens-726.pdb,S_101_000059.pdb,ens-726.pdb,S_101_000059.pdb,-29.918
ens-8718.pdb,S_227_000051.pdb,ens-8718.pdb,S_227_000051.pdb,-19.317
ens-339.pdb,S_025_000071.pdb,ens-339.pdb,S_025_000071.pdb,-12.55
ens-6764.pdb,S_300_000096.pdb,ens-6764.pdb,S_300_000096.pdb,-30.338
ens-9171.pdb,S_024_000013.pdb,ens-9171.pdb,S_024_000013.pdb,-28.718
ens-1751.pdb,S_167_000036.pdb,ens-1751.pdb,S_167_000036.pdb,-24.447
ens-5962.pdb,S_080_000024.pdb,ens-5962.pdb,S_080_000024.pdb,-25.041
ens-9798.pdb,S_101_000124.pdb,ens-9798.pdb,S_101_000124.pdb,-23.605
ens-3784.pdb,S_065_000038.pdb,ens-3784.pdb,S_065_000038.pdb,-25.0
ens-2906.pdb,S_276_000092.pdb,ens-2906.pdb,S_276_000092.pdb,-10.072
ens-9512.pdb,S_161_000027.pdb,ens-9512.pdb,S_161_000027.pdb,-26.678
ens-1491.pdb,S_106_000017.pdb,ens-1491.pdb,S_106_000017.pdb,-17.185
ens-633.pdb,S_171_000016.pdb,ens-633.pdb,S_171_000016.pdb,-3.45
ens-5661.pdb,S_268_000087.pdb,ens-5661.pdb,S_268_000087.pdb,-19.598
ens-6954.pdb,S_390_000033.pdb,ens-6954.pdb,S_390_000033.pdb,-22.557
ens-2278.pdb,S_350_000020.pdb,ens-2278.pdb,S_350_000020.pdb,-24.468
ens-7995.pdb,S_123_000033.pdb,ens-7995.pdb,S_123_000033.pdb,-17.351
ens-5240.pdb,S_035_000078.pdb,ens-5240.pdb,S_035_000078.pdb,-29.584
ens-7603.pdb,S_062_000009.pdb,ens-7603.pdb,S_062_000009.pdb,-24.063
ens-2702.pdb,S_269_000058.pdb,ens-2702.pdb,S_269_000058.pdb,-17.575
ens-6258.pdb,S_146_000121.pdb,ens-6258.pdb,S_146_000121.pdb,-29.344
ens-6686.pdb,S_142_000111.pdb,ens-6686.pdb,S_142_000111.pdb,-21.788
ens-7251.pdb,S_278_000122.pdb,ens-7251.pdb,S_278_000122.pdb,-13.997
ens-8332.pdb,S_213_000091.pdb,ens-8332.pdb,S_213_000091.pdb,-31.546
ens-5615.pdb,S_201_000047.pdb,ens-5615.pdb,S_201_000047.pdb,-10.471
ens-408.pdb,S_129_000118.pdb,ens-408.pdb,S_129_000118.pdb,-27.517
ens-4379.pdb,S_389_000039.pdb,ens-4379.pdb,S_389_000039.pdb,-28.63
ens-8273.pdb,S_027_000082.pdb,ens-8273.pdb,S_027_000082.pdb,-16.5
ens-7630.pdb,S_088_000010.pdb,ens-7630.pdb,S_088_000010.pdb,-23.116
ens-1089.pdb,S_383_000068.pdb,ens-1089.pdb,S_383_000068.pdb,-14.505
ens-2996.pdb,S_069_000009.pdb,ens-2996.pdb,S_069_000009.pdb,-17.533
ens-6610.pdb,S_076_000003.pdb,ens-6610.pdb,S_076_000003.pdb,-23.701
ens-7270.pdb,S_271_000016.pdb,ens-7270.pdb,S_271_000016.pdb,-7.492
ens-353.pdb,S_069_000076.pdb,ens-353.pdb,S_069_000076.pdb,-11.574
ens-3061.pdb,S_202_000047.pdb,ens-3061.pdb,S_202_000047.pdb,-22.145
ens-527.pdb,S_365_000040.pdb,ens-527.pdb,S_365_000040.pdb,-17.294
ens-7172.pdb,S_106_000068.pdb,ens-7172.pdb,S_106_000068.pdb,-26.122
ens-4617.pdb,S_059_000109.pdb,ens-4617.pdb,S_059_000109.pdb,-24.261
ens-8610.pdb,S_147_000066.pdb,ens-8610.pdb,S_147_000066.pdb,-21.404
ens-35.pdb,S_051_000079.pdb,ens-35.pdb,S_051_000079.pdb,-22.868
ens-1269.pdb,S_095_000063.pdb,ens-1269.pdb,S_095_000063.pdb,-26.08
ens-3431.pdb,S_289_000049.pdb,ens-3431.pdb,S_289_000049.pdb,-25.982
ens-7953.pdb,S_201_000108.pdb,ens-7953.pdb,S_201_000108.pdb,-15.608
ens-52.pdb,S_172_000123.pdb,ens-52.pdb,S_172_000123.pdb,-20.76
ens-3560.pdb,S_247_000018.pdb,ens-3560.pdb,S_247_000018.pdb,-14.282
ens-4451.pdb,S_148_000017.pdb,ens-4451.pdb,S_148_000017.pdb,-27.406
ens-5303.pdb,S_309_000088.pdb,ens-5303.pdb,S_309_000088.pdb,-17.494
ens-6625.pdb,S_219_000036.pdb,ens-6625.pdb,S_219_000036.pdb,-23.109
ens-6255.pdb,S_060_000109.pdb,ens-6255.pdb,S_060_000109.pdb,-22.186
ens-4943.pdb,S_173_000086.pdb,ens-4943.pdb,S_173_000086.pdb,-16.438
ens-5300.pdb,S_269_000030.pdb,ens-5300.pdb,S_269_000030.pdb,-19.726
ens-6516.pdb,S_103_000113.pdb,ens-6516.pdb,S_103_000113.pdb,-23.341
ens-5946.pdb,S_014_000068.pdb,ens-5946.pdb,S_014_000068.pdb,-26.293
ens-1903.pdb,S_158_000057.pdb,ens-1903.pdb,S_158_000057.pdb,-24.199
ens-1655.pdb,S_145_000104.pdb,ens-1655.pdb,S_145_000104.pdb,-29.919
ens-1635.pdb,S_258_000021.pdb,ens-1635.pdb,S_258_000021.pdb,-11.024
ens-5671.pdb,S_335_000042.pdb,ens-5671.pdb,S_335_000042.pdb,-23.419
ens-8329.pdb,S_211_000101.pdb,ens-8329.pdb,S_211_000101.pdb,-20.979
ens-7215.pdb,S_251_000029.pdb,ens-7215.pdb,S_251_000029.pdb,-14.958
ens-837.pdb,S_060_000051.pdb,ens-837.pdb,S_060_000051.pdb,-23.915
ens-5290.pdb,S_161_000072.pdb,ens-5290.pdb,S_161_000072.pdb,-23.528
ens-1600.pdb,S_330_000045.pdb,ens-1600.pdb,S_330_000045.pdb,-21.856
ens-5094.pdb,S_062_000041.pdb,ens-5094.pdb,S_062_000041.pdb,-16.8
ens-9144.pdb,S_285_000044.pdb,ens-9144.pdb,S_285_000044.pdb,-17.986
ens-532.pdb,S_371_000065.pdb,ens-532.pdb,S_371_000065.pdb,-32.721
ens-887.pdb,S_162_000104.pdb,ens-887.pdb,S_162_000104.pdb,-26.992
ens-968.pdb,S_319_000085.pdb,ens-968.pdb,S_319_000085.pdb,-28.567
ens-9067.pdb,S_327_000022.pdb,ens-9067.pdb,S_327_000022.pdb,-11.735
ens-4223.pdb,S_294_000037.pdb,ens-4223.pdb,S_294_000037.pdb,-25.504
ens-5757.pdb,S_033_000084.pdb,ens-5757.pdb,S_033_000084.pdb,-20.527
ens-3443.pdb,S_065_000105.pdb,ens-3443.pdb,S_065_000105.pdb,-18.852
ens-6294.pdb,S_202_000074.pdb,ens-6294.pdb,S_202_000074.pdb,-22.588
ens-2556.pdb,S_191_000098.pdb,ens-2556.pdb,S_191_000098.pdb,-2.59
ens-8425.pdb,S_338_000100.pdb,ens-8425.pdb,S_338_000100.pdb,-10.162
ens-7735.pdb,S_335_000035.pdb,ens-7735.pdb,S_335_000035.pdb,-24.037
ens-3143.pdb,S_009_000112.pdb,ens-3143.pdb,S_009_000112.pdb,-27.188
ens-2375.pdb,S_280_000010.pdb,ens-2375.pdb,S_280_000010.pdb,-7.055
ens-7333.pdb,S_244_000031.pdb,ens-7333.pdb,S_244_000031.pdb,-18.09
ens-7137.pdb,S_201_000045.pdb,ens-7137.pdb,S_201_000045.pdb,-31.977
ens-7188.pdb,S_297_000065.pdb,ens-7188.pdb,S_297_000065.pdb,-21.736
ens-571.pdb,S_369_000006.pdb,ens-571.pdb,S_369_000006.pdb,-36.802
ens-2890.pdb,S_134_000028.pdb,ens-2890.pdb,S_134_000028.pdb,-6.973
ens-4546.pdb,S_303_000073.pdb,ens-4546.pdb,S_303_000073.pdb,-19.777
ens-2458.pdb,S_089_000112.pdb,ens-2458.pdb,S_089_000112.pdb,-27.423
ens-8893.pdb,S_268_000006.pdb,ens-8893.pdb,S_268_000006.pdb,-18.264
ens-8628.pdb,S_095_000036.pdb,ens-8628.pdb,S_095_000036.pdb,-22.367
ens-9269.pdb,S_136_000101.pdb,ens-9269.pdb,S_136_000101.pdb,-35.937
ens-7442.pdb,S_191_000065.pdb,ens-7442.pdb,S_191_000065.pdb,-24.121
ens-4378.pdb,S_176_000110.pdb,ens-4378.pdb,S_176_000110.pdb,-25.187
ens-564.pdb,S_062_000112.pdb,ens-564.pdb,S_062_000112.pdb,-17.875
ens-600.pdb,S_318_000079.pdb,ens-600.pdb,S_318_000079.pdb,-17.696
ens-5358.pdb,S_316_000074.pdb,ens-5358.pdb,S_316_000074.pdb,-31.508
ens-9860.pdb,S_395_000072.pdb,ens-9860.pdb,S_395_000072.pdb,-18.607
ens-4976.pdb,S_040_000018.pdb,ens-4976.pdb,S_040_000018.pdb,-33.056
ens-5928.pdb,S_248_000055.pdb,ens-5928.pdb,S_248_000055.pdb,-10.462
ens-7904.pdb,S_208_000037.pdb,ens-7904.pdb,S_208_000037.pdb,-31.249
ens-943.pdb,S_278_000096.pdb,ens-943.pdb,S_278_000096.pdb,-19.839
ens-7471.pdb,S_396_000124.pdb,ens-7471.pdb,S_396_000124.pdb,-8.122
ens-7875.pdb,S_202_000015.pdb,ens-7875.pdb,S_202_000015.pdb,-23.45
ens-6572.pdb,S_041_000104.pdb,ens-6572.pdb,S_041_000104.pdb,-21.948
ens-4920.pdb,S_242_000088.pdb,ens-4920.pdb,S_242_000088.pdb,-1.492
ens-4154.pdb,S_263_000041.pdb,ens-4154.pdb,S_263_000041.pdb,-26.685
ens-7121.pdb,S_117_000039.pdb,ens-7121.pdb,S_117_000039.pdb,-19.019
ens-8327.pdb,S_081_000078.pdb,ens-8327.pdb,S_081_000078.pdb,-28.944
ens-3710.pdb,S_171_000088.pdb,ens-3710.pdb,S_171_000088.pdb,-15.528
ens-9280.pdb,S_044_000086.pdb,ens-9280.pdb,S_044_000086.pdb,-23.432
ens-5666.pdb,S_372_000122.pdb,ens-5666.pdb,S_372_000122.pdb,-5.382
ens-1456.pdb,S_092_000019.pdb,ens-1456.pdb,S_092_000019.pdb,-21.442
ens-2377.pdb,S_025_000009.pdb,ens-2377.pdb,S_025_000009.pdb,-15.692
ens-1869.pdb,S_027_000049.pdb,ens-1869.pdb,S_027_000049.pdb,-23.362
ens-6065.pdb,S_349_000081.pdb,ens-6065.pdb,S_349_000081.pdb,-25.705
ens-2983.pdb,S_344_000065.pdb,ens-2983.pdb,S_344_000065.pdb,-22.794
ens-2359.pdb,S_208_000025.pdb,ens-2359.pdb,S_208_000025.pdb,-22.538
ens-1254.pdb,S_171_000102.pdb,ens-1254.pdb,S_171_000102.pdb,-2.08
ens-9735.pdb,S_033_000048.pdb,ens-9735.pdb,S_033_000048.pdb,-8.227
ens-2985.pdb,S_069_000004.pdb,ens-2985.pdb,S_069_000004.pdb,-25.897
ens-2611.pdb,S_193_000090.pdb,ens-2611.pdb,S_193_000090.pdb,-26.063
ens-3543.pdb,S_099_000078.pdb,ens-3543.pdb,S_099_000078.pdb,-12.391
ens-3757.pdb,S_078_000123.pdb,ens-3757.pdb,S_078_000123.pdb,-23.85
ens-5238.pdb,S_071_000111.pdb,ens-5238.pdb,S_071_000111.pdb,-13.267
ens-6350.pdb,S_146_000091.pdb,ens-6350.pdb,S_146_000091.pdb,-26.49
ens-1800.pdb,S_301_000046.pdb,ens-1800.pdb,S_301_000046.pdb,-34.543
ens-7482.pdb,S_318_000051.pdb,ens-7482.pdb,S_318_000051.pdb,-29.166
ens-5380.pdb,S_101_000070.pdb,ens-5380.pdb,S_101_000070.pdb,-17.337
ens-6337.pdb,S_213_000058.pdb,ens-6337.pdb,S_213_000058.pdb,-21.82
ens-1950.pdb,S_175_000018.pdb,ens-1950.pdb,S_175_000018.pdb,-33.132
ens-1037.pdb,S_299_000111.pdb,ens-1037.pdb,S_299_000111.pdb,-20.063
ens-4476.pdb,S_106_000022.pdb,ens-4476.pdb,S_106_000022.pdb,-26.057
ens-9963.pdb,S_362_000105.pdb,ens-9963.pdb,S_362_000105.pdb,-32.653
ens-754.pdb,S_013_000009.pdb,ens-754.pdb,S_013_000009.pdb,-27.096
ens-4182.pdb,S_285_000023.pdb,ens-4182.pdb,S_285_000023.pdb,-4.931
ens-8966.pdb,S_371_000054.pdb,ens-8966.pdb,S_371_000054.pdb,-20.03
ens-2390.pdb,S_100_000103.pdb,ens-2390.pdb,S_100_000103.pdb,-20.64
ens-9951.pdb,S_307_000095.pdb,ens-9951.pdb,S_307_000095.pdb,-24.222
ens-1814.pdb,S_254_000083.pdb,ens-1814.pdb,S_254_000083.pdb,-2.429
ens-4252.pdb,S_340_000001.pdb,ens-4252.pdb,S_340_000001.pdb,-11.837
ens-4333.pdb,S_093_000072.pdb,ens-4333.pdb,S_093_000072.pdb,-1.013
ens-2361.pdb,S_380_000045.pdb,ens-2361.pdb,S_380_000045.pdb,-23.371
ens-3816.pdb,S_395_000098.pdb,ens-3816.pdb,S_395_000098.pdb,-28.882
ens-3044.pdb,S_334_000026.pdb,ens-3044.pdb,S_334_000026.pdb,-13.865
ens-4190.pdb,S_280_000121.pdb,ens-4190.pdb,S_280_000121.pdb,-24.054
